,titles,category
65,삼성전자   분기 영업이익    조   올들어 첫   단위  복귀,Economic
66,기아 노조   일 파업 돌입 추가 교섭 가능성도,Economic
67,이내흔 현대에이치티 회장 별세,Economic
68, 분기 시총    조  삼성전자    조 늘었다,Economic
69,삼성전자   분기 깜짝 실적 메모리 반등 본격화,Economic
70,한동훈  한국형 제시카법 도입방안 이달 중 공개 입법예고 ,Economic
71,     영업익에 증명된 반도체 반등     만전자  신호탄 쐈다,Economic
72,구글 애플 위에 삼성전자  세계 최고의 직장   년 연속  위,Economic
73,인기 높았던 보금자리론  가계부채도 키웠다,Economic
74,김주현  특례보금자리론이 모순된 정책       동의 못해 ,Economic
75,대우건설  신흥주거지 금오동서  의정부 푸르지오 클라시엘  이달 공급,Economic
76,뉴욕 연은 설문조사  미국인들  인플레 고착화 예상 ,Economic
77,볼보 소형 전기              서 성능 가격경쟁력 호평,Economic
78,국산 우유 어쩌나  값싼 외산 우유 수입량  년 새  배 급증,Economic
79, 주담대    돌파할라  고정금리 일주일 새  껑충 ,Economic
80,담뱃값 가장 비싼 호주로   억원어치 밀수출,Social
81,영하   도 엄동설한 수락산에 개   마리 버린   대의 형량,Social
82,    대선여론조작 의혹  민주 김병욱 의원 보좌관 보도매체 압수수색,Social
83,최재훈 달성군수  신공항 건설 지역 이기주의에 매몰돼 표류해선 안 돼 ,Social
84,헤어진 연인 폭행 말리던  살 살해한   대  납치 강간 시도까지,Social
85, 난폭운전  몽골대사관 외교관 적발 음주측정엔  면책특권 ,Social
86,현 중  대상 대입개편에 고교입시 앞둔 중 도  고심 ,Social
87,새벽에 음주운전하다 손수레 끌던 행인 치어 숨지게 한   대,Social
88,탕후루 국감장 등장 예정  단맛 중독성  니코틴과 비슷 ,Social
89,내일 고  전국연합학력평가 시행  대구에선 고   만 천   명 응시 ,Social
90,대한비만학회  탕후루에 열광하는 이유  담배 마약 중독과 비슷 ,Social
91, 특별한 일 아니고 당연해  군인 위한 가게 또 있었다,Social
92,주식으로  억 빚진 남편 이혼 요구에  빚도 분할  황당,Social
93,세계 최고 비싼 호주 담배   만여갑 밀수 시도 일당 검거,Social
94,     대  출신 강사 보유하면 가산점    인권위  학벌 차별 ,Social
95,편의점보다 건설업체가 더 많은 나라,Social
96,임영웅  또 선행 가왕전 상금 소아암 치료비로 기부,Social
97, 단독  제 인물을 최재경 통화로 조작   대선 허위보도  보좌관 압색,Social
98,  대  스토킹 신고 여성과  세 아들 살해해 징역   년,Social
99,팍팍한 삶에 뚜벅이족 선택  운전면허 안 따는 청년 늘어,Social
100, 단독 우울증 진단 받았던 군산 자살 교사  학교 조사서엔 직업성 질병  확인불가 ,Social
101,  년 된 어린이집 무너졌는데   년 된 노후 어린이집     개,Social
102,사장님만 보이게 남긴 리뷰  환불은 괜찮다   아살세 ,Social
103, 줄줄 새는 국고보조금   경남경찰  부정수급 공무원 등 대거 적발,Social
104,헤어진 연인에    여차례 문자폭탄했다가 쇠고랑 찬   대 남자 ,Social
105, 나는 솔로  영숙    옥순 불화 생중계     대화 폭로까지,Social
106,흡연 관련 질병 앓는 여성 청소년   년 새  배로 급증,Social
107,모텔서 낳은 딸 창밖으로 던지고  죽을 줄 몰랐다 는   대 ,Social
108,  분지각  이유로 교사가 학생 뺨 때리고 폭행  분리조치  없어,Social
109,아내 몰래 가상화폐로  억원 빚진 남편  이혼 요구에  빚도 나눠야 ,Social
110,             관동대학살 기록 없단 건 거짓말  일본 정부에 일침 날린 일본 영화감독,Social
111,고속도로 커브길서   톤 화물차 넘어져 운전자 사망,Social
112,유치원에서 뭘하길래 교습비가 평균    만원  월급 맞먹는다,Social
113, 부산항 입항 일본 활어차  방사능 검사  대 중  대꼴 ,Social
114,담양서 실종된   대 퇴직 공무원  사흘 만에 숨진 채 발견,Social
115,술 담배 대신 사다 준 남성 여고생엔  신던 스타킹으로 거래 가능 ,Social
116,안성 물류센터 신축 현장서   대 작업자    아래로 추락 숨져,Social
117,쓰러진 아내 두고 테니스 치러 간 남편 유기죄로 송치,Social
118,서울대병원 노조 파업 첫날 파업 장기화시 환자 불편 우려,Social
119,피 흘리는 아내 두고 테니스 치러 간 남편  엮이기 싫어 그냥 뒀다 ,Social
120,불안할 때 먹으면 좋은 음식들,Culture
121, 한달 술 안마셨더니 세포들이   실험결과 어떻길래 ,Culture
122, 시에 대해서만 엄격  어머니 같았던 김남조 ,Culture
123,췌장암에 꼭 관심 가져야 사람들   최악의 습관은 ,Culture
124,잠들기 전  간식 한 입 이 다음날 더 배고프게 만든다,Culture
125, 날씨체크   단풍의 계절  가을   대구 첫 단풍은 언제 ,Culture
126,다친 새 발견하면 어디에 도움 요청해야 하나요  동무물 ,Culture
127, 희귀병도 서러운데  정부  저소득층 치료비 지원     삭감,Culture
128,김홍신  용서 없으면 인류 생존 불가능 행복해지는 유일한 방법 ,Culture
129, 건방진 퀴즈   하나도 아픈데   사랑니  최대 몇 개까지 가능 ,Culture
130,높아도 낮아도 문제   내 몸 콜레스테롤 균형을 잡아라 ,Culture
131, 고용세습 양보 못해  기아 노조    월 파업 강행,Culture
132, 검정고무신  고 이우영 작가 부인  형설앤  시정명령에 무대응 ,Culture
133, 지금 사야 싸다  막 오른 스키시즌권 경쟁,Culture
134,서울대병원 노조 파업 돌입   시간 병동 지켰으면 근무로 인정해야 ,Culture
135, 벤츠보다     만원 싸네      만원   제네시스           만원,Culture
136, 운동했으니까 먹어도 돼     살빼기 말짱 꽝 ,Culture
137, 약손   폐암의 진단과 치료  진단 방법과 치료 과정,Culture
138,쌀쌀한 날씨 지속 구름 많고 일교차 커,Culture
139,한 그릇 뚝딱 비운다  기분 좋게 매운맛 살린 덮밥  쿠킹 ,Culture
140,     날씨  오늘 대체로 맑고 기온 일교차 커요,Culture
141,제네시스      부분변경 쿠페 판매 개시 쿠페     만원부터,Culture
142, 수입차 안 부럽네  럭셔리한 외모로 돌아온 제네시스     ,Culture
143,  초만 읽어도 혈당 안심되는  밀당     앱,Culture
144,선호사양 채운     인스파이어  소형     경쟁모델 비교해보니 ,Culture
145,당뇨병 인구     만 시대  검증된 정보만 모았다,Culture
146, 인터뷰  비만학회  똑같이 먹어도 나만 살 찌는 이유 ,Culture
147,젊어진 당뇨병  오래 앓아 더 문제   연속적인 혈당 관리 지원 절실 ,Culture
148,기아 노조  내일부터 파업한다   정년  늘리고  고용 세습  유지 요구,Culture
149,거대 자궁근종도 로봇으로 제거 일산차병원  로봇수술     건 달성,Culture
150,기아 노조   일부터 파업  정년연장 고용세습 요구,Culture
151, 아침뉴스타임 날씨  오늘 대체로 맑고 일교차 커요,Culture
152,기아 노조   고용세습  양보 못 해   일부터 파업 강행,Culture
153, 경력직  유인촌  번째 국감 야당의원도 박수쳤다,Culture
154, 진짜 봤어  망상 시달리는데 조현병 환자     명  약물치료 안 받아,Culture
155, 동물이 건강한 집  마킹이 심한 강아지 해결 가능할까 ,Culture
156, 아미랑  아삭 새콤 맛있는 김치 암 있어도 맛있게 먹어요 ,Culture
157, 밀당     소변 악취  당뇨병 때문일까요 ,Culture
158, 고용 세습  건들지마 기아 노조  임단협 결렬 선언  내일부터 파업 ,Culture
159,김장철 다가오는데  소금 가격에 담글지 고민되네,Culture
160,이스라엘  전면적 공격  예고 양측 사망자     명 넘어,World
161,도대체 왜    곳곳서  원인불명 쓰나미  속출  긴급 기자회견까지,World
162, 명품 싹쓸이  하던   돌변하자 세계  위     도  휘청 ,World
163,대만  동부 전략지역에 미사일기지 신설  우회 공격대비,World
164,바이든  이스라엘에 추가 군사지원  상황별 비상계획 수립,World
165,파손된 핀란드 에스토니아 해저 가스관  노르드스트림 이어  사보타주  무게,World
166, 중국 연간 신생아 수 당분간  천만명 선 유지될 듯 ,World
167,이스라엘  이집트 가자지구 유일 통행로에 재차 공습,World
168,가자지구 지상전 임박한듯 고속도로에 탱크 헬기 집결 이 팔 전쟁 ,World
169,돈줄 막히는 기업들 이 팔 전쟁  첨단기술 산업까지 위협  이 팔 전쟁 ,World
170,묶이면 전세계 경제  초토화    중동 최악의 시나리오   녹취록 ,World
171,이스라엘  금기  백린탄 쐈나  불바다 영상  확산  이 팔 전쟁 ,World
172,우크라전 잊혀진 전쟁 될라 젤렌스키  연일 러시아 때리기,World
173,커지는 미중     격차  금세기에 미국 따라잡을 수 없을 것 ,World
174,젤렌스키  러  우크라에 대한 지지 약화 위해 중동 분쟁 일으키려 해 ,World
175, 불바다 영상  확산 이스라엘  가자지구에 백린탄 쐈나,World
176, 무소속 출마  케네디   대선 변수로    시간 만에    억 모금 ,World
177, 속보  이스라엘의 가자지구 지상전 임박 탱크 헬기 집결,World
178,영국으로 번진  빈대주의보  런던 지하철 맨체스터 버스에 등장,World
179, 이스라엘  백린탄 사용  주장  불바다 영상  확산,World
180, 이스라엘  백린탄 사용  주장  불바다 영상  확산,World
181, 영영 하늘로 돌아갔다       세 할머니   최고령 스카이다이버  등극  일 만에 영면,World
182, 너무 늦은 나이란 없다       세 할머니  기네스 기록 세우고 영면  지금이뉴스 ,World
183, 이 팔 전쟁  우크라전 잊혀진 전쟁 될라 젤렌스키  연일 러시아 때리기,World
184,젤렌스키  곧 우크라 곡물 루마니아 몰도바 통해 수출 ,World
185,유럽 또 난방비 비상 타마르 가스전 폐쇄 여파  이 팔 전쟁 ,World
186, 여야  하원의장 후보 선출 논의 매카시  당 선택 받는 자에 투표 ,World
187,러  우크라 에너지 시설 공격 지난해보다  주 빨리 시작,World
188,호주 전 총리  대만 찾아   견제   자유 추구하는 대만 지지 ,World
189,  최신형 무기  이스라엘 도착  하마스 레바논에 대응,World
190, 속보      여명 사상자 난 아프간 북서부에 또 규모     강진,World
191,이스라엘  당근과 채찍  정책에서  하마스 전면 제거 로 전환,World
192,대만  중국  이 팔 전쟁 틈타  제 전선  만들려하지 말라 ,World
193,이 신발 신었더니  신기록 달성   기술 도핑 테스트 필요한 거 아냐  ,World
194, 뉴스라이브  이스라엘 하마스 무력충돌 격화   미국 이란 참전할까 ,World
195,      상공 낙하  일 뒤  하늘로 올라간     살 스카이다이버,World
196,   맛집 비결    년 안 닦은 항아리   씨간장도 울고 갈  노포 봤더니,World
197,미 장기 국채 금리 상승에 힘 실리는 기준금리 동결 가능성,World
198,바이든    독립에 목숨 바친 폴란드 장군 소환한 까닭은 ,World
199, 중동특사  이 팔 분쟁 근본적 해결법은  두 국가 해법  ,World
200,해외서 출시된     백신   국내 개발 어디까지,IT
201, 조류독감  년 내 사라질 수도    유전자교정으로 저항성 닭 최초 탄생,IT
202, 애플      업데이트로 아이폰   전자파 낮춘다고  ,IT
203, 어바웃   창업자 떠난  적자  라인게임즈  판사  출신 박성민 대표에 쏠린 눈,IT
204, 국감       기타 치며 노래하는  가짜 유인촌부터 주  시간제 우회 지적까지,IT
205,  엔솔     영업익 역대 최대    개 분기만에 작년  실적 추월,IT
206,머스크의 다이어트 비결  위고비  국내 언제 나오나 ,IT
207,포털 다음의 좌편향 동기는 과연 무엇인가,IT
208,이동관      인수  한세실업 접었다  문화일보도 가능성 적어 ,IT
209,  올리브네트웍스는 왜 국방부를 상대로 소송할까,IT
210,우주정거장서 또 냉각수 누출 사고  이번이 세 번째 ,IT
211,쿠팡  대만 수출 중소기업   년 만에  만 천곳 돌파 ,IT
212,방통위      보궐이사에 이동욱 전 월간조선 기자 추천,IT
213, 갤   진짜 고맙다    삼성폰  업황 부진에도  분기 실적  선방 ,IT
214, 속보  복지위  네이버 최수연 대표 증인 철회 확정,IT
215,삼성전자     영업익  조    억원 올해 첫 조 단위 영업익 달성,IT
216,깜짝실적   전자 반등조짐 삼성전자    상고하저  깼다,IT
217,왓챠  공정위에  기술 탈취 의혹 조사해달라  신고,IT
218, 단독  내년 정부     예산  초안은   조    억원으로 늘리려고 했다,IT
219,윤영찬      만 알뜰폰 개인정보보호 노력 강화해야 ,IT
220,삼성전자  갤  로 이익  껑충     분기  가성비 신작  힘 보탠다,IT
221,코로나보다 더한  재난   년간  만명 스스로 목숨끊었다,IT
222,탕후루 약과에 빠진 중딩 당뇨     고지혈증     늘었다,IT
223, 플립 폴드  가 삼성 살렸다 폰 흥행이 반도체 부진 상쇄,IT
224, 이스라엘 인질 영상 유포 우려 자녀 폰     앱 지워라 ,IT
225,유가  국채금리 하락에 비트코인   만    달러 유지,IT
226,모빌테크     억 규모 시리즈  투자 유치,IT
227,삼성전자  포브스 선정  세계 최고의 직장   년 연속  위,IT
228,내년 출시될 애플워치  혁신 기대해도 될까,IT
229,반도체 바닥쳤나   삼성     영업익   단위 복귀,IT
230, 포스트 리니지  신작으로 반등 노리는 엔씨소프트,IT
231, 구독자   만  과학 유튜버 궤도  공무원 겸직금지 어겨 징계 불가피,IT
232,통신 사  알뜰폰 시장 절반 차지  알뜰폰 취지 무색 ,IT
233, 애플 맥 추락     전세계    시장 바닥 찍었다,IT
234,마이크로소프트  의료용    도구 무더기 출시,IT
235, 고맙다 플립 폴드   삼성   분기도 스마트폰 신작 효과 기대,IT
236, 개는 한눈에 보이는데  개부터는 세야 하는 이유,IT
237,        소프트웨어기업  노드     인수   엔비디아 추격 고삐,IT
238, 드롭박스 대시 오픈베타  공개,IT
239,  년 지났는데 뮤직카우       곡 검색량      늘었다,IT
